,Name,Rating,Location,Cuisine,Votes,Cost
6441,Looters,3.3/510 votes,"C Scheme, Central Jaipur","Fast Food,  Burger",10 votes,₹ 400 for two (approx.)
6442,Kalyan Rooftop And Indoor Restaurant,3.0/55 votes,"Gopalbari, North Jaipur","North Indian,  Chinese,  South Indian",5 votes,₹ 1000 for two (approx.)
6443,COCO - Coffee and Company,4.7/55 votes,"Bani Park, Central Jaipur","Finger Food,  Coffee",5 votes,₹ 400 for two (approx.)
6444,Jaipur Blues,3.5/52 votes,"Bais Godam, Central Jaipur","Italian,  Chinese,  Street Food,  Fast Food",2 votes,₹ 800 for two (approx.)
6445,#BC,4.0/524 votes,"WelcomHeritage Traditional Haveli,Bani Park, Central Jaipur",North Indian,24 votes,₹ 2000 for two (approx.)
6446,Fat Lulu's,4.0/575 votes,"C Scheme, Central Jaipur","Italian,  American,  Lebanese",75 votes,₹ 1400 for two (approx.)
6447,Brown Sugar Grand,4.0/587 votes,"C Scheme, Central Jaipur","North Indian,  Italian,  Fast Food,  Drinks",87 votes,₹ 900 for two (approx.)
6448,Vetiver - Shakun Hotels Resorts,4.0/51 votes,"Shakun Hotels and Resorts,C Scheme, Central Jaipur",Finger Food,1 votes,₹ 2000 for two (approx.)
6449,Playboy Club,4.0/540 votes,"C Scheme, Central Jaipur","Asian,  North Indian,  Chinese,  Japanese",40 votes,₹ 2400 for two (approx.)
6450,Skyfall By Replay,4.2/5144 votes,"Tonk Road, South Jaipur","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",144 votes,₹ 2000 for two (approx.)
6451,MS3 Drinking Chowpatty,4.5/556 votes,"Sodala, West Jaipur","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Pizza",56 votes,₹ 500 for two (approx.)
6452,Surya Mahal,4.6/577 votes,"Mirza Ismail Road, West Jaipur","Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Rajasthani",77 votes,₹ 1000 for two (approx.)
6453,Handi Restaurant,4.1/544 votes,"Hotel Maya Mansion,Mirza Ismail Road, West Jaipur","North Indian,  Continental,  Mughlai",44 votes,₹ 1000 for two (approx.)
6454,Chaisa,4.6/543 votes,"Lal Kothi, Central Jaipur","Fast Food,  Tea",43 votes,₹ 800 for two (approx.)
6455,Pablo,3.0/56 votes,"C Scheme, Central Jaipur","North Indian,  Oriental ",6 votes,₹ 1900 for two (approx.)
6456,14 Tables,4.6/515 votes,"Mirza Ismail Road, West Jaipur","North Indian,  Continental",15 votes,₹ 1700 for two (approx.)
6457,Brown Sugar Bistro,3.9/522 votes,"Axis Mall,C Scheme, Central Jaipur","North Indian,  Italian,  Fast Food,  Drinks",22 votes,₹ 900 for two (approx.)
6458,Henry's The Pub,3.6/522 votes,"Hotel Park Prime,C Scheme, Central Jaipur","Multi-Cuisine,  North Indian,  Continental,  European",22 votes,₹ 1500 for two (approx.)
6459,Dal Bati Churma,4.1/515 votes,"Bani Park, Central Jaipur","North Indian,  Rajasthani",15 votes,₹ 400 for two (approx.)
6460,DND Bar And Lounge,4.6/521 votes,"Hotel Maharani Prime,Sindhi Camp, Central Jaipur","North Indian,  Fast Food",21 votes,₹ 1600 for two (approx.)
6461,Stardust,4.0/5153 votes,"Tonk Road, South Jaipur","North Indian,  Continental,  Italian,  Chinese",153 votes,₹ 1900 for two (approx.)
6462,Ten Twisters,4.0/523 votes,"C Scheme, Central Jaipur","North Indian,  Barbecue,  Mughlai",23 votes,₹ 1500 for two (approx.)
6463,Brown Bites,2.5/52 votes,"C Scheme, Central Jaipur","Bakery and Confectionary,  Coffee,  Fast Food",2 votes,₹ 900 for two (approx.)
6464,Vegetrainian,4.0/559 votes,"Lal Kothi, Central Jaipur","North Indian,  Italian,  Chinese",59 votes,₹ 1000 for two (approx.)
6465,Shikaar Bagh,4.4/530 votes,"Hotel Narain Niwas Palace,Narayan Singh Circle, East Jaipur",Multi-Cuisine,30 votes,₹ 2000 for two (approx.)
6466,Cafe Viva,4.5/52 votes,"Leisure Inn Grand Chanakya,Mirza Ismail Road, West Jaipur","North Indian,  Chinese,  Italian,  Seafood",2 votes,₹ 1300 for two (approx.)
6467,Marigold,3.8/56 votes,"Golden Tulip,Mirza Ismail Road, West Jaipur","North Indian,  Continental,  Oriental ",6 votes,₹ 2000 for two (approx.)
6468,House Of Beans,3.8/56 votes,"C Scheme, Central Jaipur","Italian,  Fast Food",6 votes,₹ 600 for two (approx.)
6469,Barista,4.1/577 votes,"C Scheme, Central Jaipur","Coffee,  North Indian,  Italian,  Continental,  Desserts",77 votes,₹ 600 for two (approx.)
6470,Krystal Bar,2.5/56 votes,"Hilton Hotel,Bais Godam, Central Jaipur",Finger Food,6 votes,₹ 3200 for two (approx.)
6471,Safa,3.6/55 votes,"Golden Tulip,Mirza Ismail Road, West Jaipur",Finger Food,5 votes,₹ 1800 for two (approx.)
6472,T.Y.H - The Robot Restaurant,3.7/5154 votes,"Mirza Ismail Road, West Jaipur","North Indian,  Italian,  Mexican",154 votes,₹ 1100 for two (approx.)
6473,Jazz Club,5.0/51 votes,"Mirza Ismail Road, West Jaipur","North Indian,  Italian",1 votes,₹ 900 for two (approx.)
6474,RJ 14,4.1/5156 votes,"Ajmer Road, West Jaipur","North Indian,  South Indian",156 votes,₹ 1300 for two (approx.)
6475,Shyam Darbaar,3.6/518 votes,"Bais Godam, Central Jaipur","North Indian,  Chinese,  Fast Food,  Italian,  South Indian",18 votes,₹ 700 for two (approx.)
6476,Chawla's Restaurant,4.9/517 votes,"Sodala, West Jaipur","North Indian,  Chinese",17 votes,₹ 700 for two (approx.)
6477,Jaigarh Kitchen,5.0/51 votes,"C Scheme, Central Jaipur","North Indian,  Fast Food",1 votes,₹ 700 for two (approx.)
6478,Tan-Sukh,4.6/5103 votes,"Vaishali Nagar, West Jaipur","Multi-Cuisine,  North Indian,  Italian,  Mexican,  Oriental ,  Rajasthani",103 votes,₹ 1200 for two (approx.)
6479,Citrus Cafe,4.5/54 votes,"Lemon Tree Premier Hotel,Bani Park, Central Jaipur","Multi-Cuisine,  North Indian,  Continental,  Oriental ,  Rajasthani",4 votes,₹ 2000 for two (approx.)
6480,Chaisa,3.6/520 votes,"C Scheme, Central Jaipur","Fast Food,  Tea",20 votes,₹ 800 for two (approx.)
6481,The Socialite,4.0/584 votes,"Tonk Road, South Jaipur",Finger Food,84 votes,₹ 2000 for two (approx.)
6482,The Eclectica,4.2/5183 votes,"Sodala, West Jaipur","Multi-Cuisine,  North Indian,  Italian,  Chinese,  South Indian,  Fast Food",183 votes,₹ 1400 for two (approx.)
6483,Cafe Viva Bar,3.0/54 votes,"Leisure Inn Grand Chanakya,Mirza Ismail Road, West Jaipur","North Indian,  Chinese,  Continental,  Thai",4 votes,₹ 1200 for two (approx.)
6484,Pakwaan Skydeck Candlelight Dinner,4.6/514 votes,"Bani Park, Central Jaipur",North Indian,14 votes,₹ 3000 for two (approx.)
6485,Chum Bakk Cafe,4.4/527 votes,"Shyam Nagar, West Jaipur","Fast Food,  North Indian,  Italian",27 votes,₹ 1100 for two (approx.)
6486,The Buddy's Cafe,4.2/58 votes,"Sodala, West Jaipur","North Indian,  Fast Food,  Chinese",8 votes,₹ 700 for two (approx.)
6487,Fusion Restro,3.9/523 votes,"Lal Kothi, Central Jaipur","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",23 votes,₹ 900 for two (approx.)
6488,Pint House,4.1/531 votes,"Sodala, West Jaipur","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Lebanese",31 votes,₹ 1100 for two (approx.)
6489,Kanha,3.8/560 votes,"Vaishali Nagar, West Jaipur","North Indian,  Fast Food,  Chinese,  South Indian",60 votes,₹ 500 for two (approx.)
6490,BEATLES Bar & Lounge,4.3/595 votes,"Tonk Road, South Jaipur","Multi-Cuisine,  North Indian,  Italian,  Mexican,  Oriental ",95 votes,₹ 2100 for two (approx.)
6491,Mad Pops,4.5/578 votes,"Mansarovar, South Jaipur","North Indian,  Mexican,  Italian",78 votes,₹ 1500 for two (approx.)
6492,Decked Up By Garden Cafe,4.3/5118 votes,"Vaishali Nagar, West Jaipur","Multi-Cuisine,  North Indian,  Italian,  Chinese,  South Indian",118 votes,₹ 1100 for two (approx.)
6493,Kanha,3.4/523 votes,"Shastri Nagar, North Jaipur","North Indian,  Fast Food,  Chinese,  South Indian",23 votes,₹ 500 for two (approx.)
6494,The Messy Door,4.5/530 votes,"Shastri Nagar, North Jaipur","Italian,  Shakes,  Waffle",30 votes,₹ 700 for two (approx.)
6495,MALANA,4.0/561 votes,"Tonk Road, South Jaipur","North Indian,  Fast Food",61 votes,₹ 1500 for two (approx.)
6496,The Momoz Hub,4.3/59 votes,"Shyam Nagar, West Jaipur","Chinese,  Tibetan,  Fast Food",9 votes,₹ 500 for two (approx.)
6497,Tikkad,3.1/512 votes,"Sodala, West Jaipur","North Indian,  Chinese",12 votes,₹ 500 for two (approx.)
6498,Mamu's Infusion,4.4/529 votes,"Vaishali Nagar, West Jaipur","Italian,  North Indian,  Chinese,  Mexican,  Fast Food",29 votes,₹ 700 for two (approx.)
6499,Cafe Metanoia- Grand Uniara,4.5/534 votes,"Grand Uniara Hotel,Narayan Singh Circle, East Jaipur","Italian,  Fast Food",34 votes,₹ 1500 for two (approx.)
6500,Biryani By Kilo,4.4/568 votes,"Vaishali Nagar, West Jaipur","Mughlai,  Hyderabadi,  Biryani",68 votes,₹ 1100 for two (approx.)
6501,Brown Sugar Grand,4.3/590 votes,"Vaishali Nagar, West Jaipur","North Indian,  Italian,  Fast Food,  Drinks",90 votes,₹ 900 for two (approx.)
6502,Pakwaan Restaurant,3.5/52 votes,"Bani Park, Central Jaipur","Multi-Cuisine,  North Indian,  Italian,  Chinese",2 votes,₹ 900 for two (approx.)
6503,Satva,4.0/538 votes,"Grand Uniara Hotel,Narayan Singh Circle, East Jaipur","North Indian,  Chinese,  South Indian",38 votes,₹ 1400 for two (approx.)
6504,Quyu's Cafe,5.0/54 votes,"Vaishali Nagar, West Jaipur","Multi-Cuisine,  Italian,  Continental,  Fast Food",4 votes,₹ 1100 for two (approx.)
6505,Arogo,4.2/54 votes,"Grand Uniara Hotel,Narayan Singh Circle, East Jaipur","North Indian,  South Indian,  Seafood",4 votes,₹ 1400 for two (approx.)
6506,August House,4.5/526 votes,"Vaishali Nagar, West Jaipur","Italian,  Mexican,  Continental",26 votes,₹ 1300 for two (approx.)
6507,Sky Beach,3.3/5203 votes,"Vaishali Nagar, West Jaipur","North Indian,  Continental,  Italian,  Chinese",203 votes,₹ 1400 for two (approx.)
